area_detail,ward_name
"1st to 6th cross, nagappa street, p.g.halli",unknown
"1st to 4th cross, muneshwara block, p.g.halli",unknown
"""b"" cross, behind muneshwara temple, p.g.halli",banashankari temple ward
"""c"" cross, basappa garden - ridge portion",unknown
"vinayaka circle, p.g.halli",nayandanahalli
"hullu chathra main road, vivekananda block, p.g.halli",kacharakanahalli
"1st to 3rd cross, kasturibanagar, p.g.halli",t. dasarahalli
"""a"" cross, pipeline, malleshwaram",malleshwaram
jayamahal,jayamahal
"1st step, marappa garden",s.k. garden
"2nd step, marappa garden",ganeshmandira ward
"2, 4 & 5th cross, annayappa block",unknown
"1st to 7th cross, p.w.d. qtrs.,",unknown
"munireddy palya, marappa block & marappa thota, a.k. colony",unknown
"pemmegowda road, chruch rd.,",kempegowda ward
"gundappa block, rajappa block",gurappanapalya
"krishnamma garden, kempaiah block, anjinappa block, ankappa block & all cross",unknown
e.s.i. hospital,hosahalli
gurappa block,gurappanapalya
patel down,yelahanka satellite town
rock area,okalipuram
1st to 6th cross - rahamathnagar,ramamurthynagar
1st to 4th cross - andanappa block,unknown
matadahalli ridge portion,hal airport
matadahalli down area & step down,banashankari temple ward
"mothinagar, aralimara down area & step down, harijana colony, adikabir ashrama, dobi ghat",unknown
1st to 4th cross - behind radhakrishna theater,radhakrishna temple ward
defence area,deepanjali nagar
"17th e, f, g, 18th, 18th a, b, c main and service road",unknown
"18th b, 18th a, 18th main, jedarahalli, 72nd cross 5th block rajajinagar, 20th main service road",unknown
3rd block  51th cross to 60th cross rajajinagar,unknown
"65,64th cross 5th block rajainagar, chamundinagar ( bhashyam circle right)",unknown
"51st siddaramana dinne, 52, 53, 54, 55, 56th cross 4th block rajajinagar",unknown
"2nd, 3rd main , 43, 44th cross 4th block rajajinagar",unknown
"64, 63,62,61,60th cross  5th block rajajinagar ( bhashyam circle right)",unknown
"46,47,48,49,50th cross infront of servioce station",unknown
"7th,8,9th cross (right and left) ,  46th cross, siddaramanadinne, 4th block rajajainagar",unknown
"juganahalli, 12th main,36th cross, rajkumar road kle ground to 36th crooss connecting to dr rajkumar road",unknown
"dr rajkumar road, 2nd, 3rd, 9th main, juganahalli",dr. rajkumar ward
"1st, 2, 3, 4, 5, 6th main and 57,57 a, 58, 59th cross 4th block rajajinagar",unknown
"17th c, d, 53c, 53b, 16th main,  ( 67th, 66th, 67th a cross  5thy block  rajajinagar )",unknown
"61,62,63,64,65,66,67,68th cross 5th block rajajinagar bhashyam circle left, bhuvaneshwari slum",unknown
"61,62,63,64,65,66th cross 5th ( bhashyam circle left) block rajajinagar,  10th and 10th e main 4th e block rajajinagar",unknown
21st to 32nd cross 2nd block rajajinagar,rajajinagar
"13,14,15,16th cross, 56th cross 3rd y block rajajinagar",unknown
"13,14,15,16, 42nd cross 3rd block rajajinagar",unknown
"36, 37, 38, 39, 40,  41st cross 2nd block rajajinagar",unknown
"57th, 59th crossv and 17 b main 5th block rajajinagar",hanumanthanagar
"61,62,63,64,65,66,67,68,69,70,71,72nd cross 5th block (bhashyam circle right)",unknown
61st cross  5th block rajajinagar,rajajinagar
"harijana seva sangha, gavimata 5th block rajajinagar",jayachamarajendra nagar
"68,69,70,71,72,73,74th cross 5th block rajajinagar ( nbhashyam circle left)",unknown
"60 th cross 17th g main , 64,65,66th cross 5th block, service road (madhu bar)rajajinagar",unknown
"ssi area 1st,2,3,4,5th cross, rajkumar road sjr college  5th block rajajinagar, 4th m block 59th a  cross",unknown
1st cross 8th main prakashnagar near chicken shop,unknown
yamaha showroom down 10th main prakashnagar,prakashnagar
2nd cross sumathi kalyana mantapa 9th main,unknown
"4,5,6th main prakashnagar near sumathi kalyana mantapa",unknown
dhanlakshmi clinic opp to navran kabab corner,unknown
raghavendra swamy temple road 4th main 8th cross,dharmarayaswamy temple ward
mudaliyar choultry road prakash hotel road,dharmarayaswamy temple ward
ganigara sangha road 3rd main 3rd cross,unknown
"ganesha water supply road 4th cross 4,5,6th main",unknown
yamaha showroom opposite 4th n block,yelahanka satellite town
3rd cross opposite to raghavendra swamy temple 1st to 5th main road,dharmarayaswamy temple ward
d block 1st main 1st to 4th cross near sai college,unknown
krishnamurthy block praksahnabgar,ramamurthynagar
bayanna boundry area,byrasandra
4th m block 6th block 1st to 3rd  main,unknown
6th block gopalpura main road,kempapura agrahara
7th block gopalpura main road ridge portion,hal airport
1st main to 9th main lower portion and ridge portion,unknown
gubbanna layout,hbr layout
5th-7th cross saraswathipuram,sagayapuram
jc nagar,jayanagar
"mico layout,sri ram nagar, 2nd stage 2nd phase, agb layout, js nagar",unknown
mico layout,btm layout
1st main 1st to 13th cross jc nagar,shanthala nagar
"3rd main , 3rd a main 1st to 6th cross sriram nagar",unknown
14th a -c crosses 2nd stage 2nd phase woc road,unknown
"agb lyt, js nagar, saraswatipuram",lingarajapura
6th cross and 7th cross js nagar,shanthala nagar
mahalkshmi layout,kumaraswamy layout
1st  main mahalkshmi layout,nandini layout
2nd main mahalakshmi layout,nandini layout
3rd main mahalakshmi layout,mahalakshmipuram
"6th cross further extension(3rd cross 6th cross, 8th cross)",unknown
4th d main further extension,unknown
9th cross 4th b and a main further extension,unknown
"1st, 2nd and 3rd cross mahalakshmi layout",nandini layout
15th d cross 2nd stage 2nd phase woc road mlpuram,unknown
1st and 2nd main 1st to 8th cross bhovipalya,unknown
satyanarayana layout,hsr layout
ganesha block 8th main 5th cross to 7th cross,unknown
5th to 7th cross ganesha block,unknown
"2nd cross saraswatipura qtrs alf11,12",unknown
3rd cross saraswatipuram ridge portion,unknown
muneshwara blk package,muneshwaranagar
3rd cross 4th cross shanimahatma temple road,radhakrishna temple ward
5th cross to 11th cross nmahalakshmi layout,mahalakshmipuram
to over head tank mahalakshmi layout,kumaraswamy layout
12th cross bhovipalya ridge portion,unknown
12th cross bhovipalya lower portion,unknown
11th cross bhovipalya,chalavadipalya
10th cross lower portion,hal airport
10th cross ridge portion,hal airport
ridge portion 9th cross bhovipalya,unknown
5th main mahalakshmi layout,mahalakshmipuram
8th cross and12th cross mahalakshmi layout,mahalakshmipuram
mahalakshmi layout 5th cross to 11th cross and 5th and 6th main,unknown
13th - 15th cross mahalakshmi layout,mahalakshmipuram
15th c cross 14th a-c cross behind adichunchungiri hostel,unknown
"muneshwara, ganesha blk, saraswatipuram",vishweshrapuram
3rd and 4th cross ganesha block,unknown
1st cross saraswatipura,byatarayanapura
"muneshwara blk 3rd cross, 4th cross, 15th cross, 6th main",unknown
2nd cross saraswatipura,lingarajapura
8th and 9th cross saraswatipura,padarayanapura
8th cross saraswatipura,byatarayanapura
1st to 3rd cross muneshewara block 2nd main sallapurdamma temple road,unknown
1st-5th cross mahalakshmi layout,mahalakshmipuram
5th cross mahalakshmi layout,mahalakshmipuram
lower portion 9th cross bhovipalya,unknown
jc nagar 9th main and 6th a main,maruthi mandira ward
"6th a main 4th to 9th cross jc nagar, 15th cross jc nagar",unknown
ganesha block tent package,banashankari temple ward
4th-8th main lower portion ganesha block tent road,unknown
1st to 10th main ganesha block,unknown
15th cross and 15th d cross lower portion mahalakshmi layout,unknown
7th cross to 15th cross jc nagar 60ft road,unknown
"alf qtrs saraswatipura,",byatarayanapura
5th and 6th cross 9th main jc nagar,shanthala nagar
1st to 9th main ridge portion,hal airport
10th main ganesha block,kammanahalli
4th cross saraswatipura,byatarayanapura
4th cross saraswatipura ridge portion,unknown
2nd to 4th cross 9th main jc nagar,aramane nagar
15th a-c cross 2nd stg 2nd phase woc road,unknown
saraswatipuram 5th cross,sagayapuram
"6th cross and 7th cross saraswatipuram,",mahalakshmipuram
7th -9th cross 9th main jc nagar,aramane nagar
muneshwara blk gas godown rod ridge portion,muneshwaranagar
"to srikanteswar nagar, shankar nagar, rmc yard and shsok pura, marapanapalya",unknown
1st main 1st cross to 8th cross sriknteswara nagar,maruthiseva nagar
2nd main sriknteswara nagar,muneshwaranagar
"5th, 6th and 6th a main srinkateswar nagar",shanthala nagar
4th & 3th main srikanteswar nagar,basaveshwaranagar
"main road 1st & 2nd cross marapanpalya,",manorayanapalya
"ashokpura, indutrial area",peenya industrial area
1st main to 5th main shankar nagar,maruthiseva nagar
6th main to 9th main shankar nagar,maruthiseva nagar
1st main  fro 1st cross to 5th cross vijiyand nagar,unknown
"1st & 2nd main,3rd and 4th cross vijayanad nagar",shanthala nagar
back side of majeed,lakshmidevinagar
3rd to 5th main vijiyanad nagar,dayanandanagar
down stream of 5th main and 4th cross,unknown
towards raju gowda house and 4th cross,unknown
4th & 5th cross back side of mumeswar temple,unknown
1st main road,singsandra
back side of ks bakery road,chowdeshwari ward
spmandana hospital road,manorayanapalya
kumar house road up to rmc yad compound,unknown
honnalamma temple road and baack side of samudaybhavan,unknown
3rd and 4th cross krisnand nagar,maruthiseva nagar
from 1st block to 13th block,unknown
towards jingadi school road,singasandra
rajeev gandhi nagar 1st main to 9th main,jeevanbhimanagar
"1st main, 1st cross to 8th cross kanteeruva form",unknown
2nd & 3rd main ( 1st cross to 6th cross) kanteeruva form,unknown
2nd & 3rd main ( 7th & 8th cross) kanteeruva form,unknown
1st main & 2nd main ( 1st to 5th cross ) narashimha layout,unknown
2nd cross to 7th cross kanteeruva nagar 2nd stage,unknown
"bavi road, majjid road, 10th cross mahesh house road",unknown
"bande road, back side of majeet road,and dead end road",unknown
bettegowda house road,kempegowda ward
"2nd main hattimara road, baskar house road, bande road, upto railway narayan house",unknown
"ambabavani temple road , partial area of bande road, bellow bande road",unknown
1st cross park road upt ambabavani temple back side,banashankari temple ward
"1st & 2nd 6th cross, jm nagar gim road",unknown
2nd main up to 3rd main,unknown
from 6th cross to 9th cross,unknown
"hm nayak main road, back side of temple 1st cross ravi badavane",unknown
"rangappa house road, sarasvati school road",jnanabharathi ward
sakamma layout,hsr layout
narashimaswamy layout,kumaraswamy layout
srinivas nagar,shivanagar
"bda flats fro mf 1 to mf28, lf",unknown
alf 1 to 5,unknown
lf 21 to lf58 & mf 30 to mf54,unknown
from 7th main to 13th main of 1st and 2nd cross 4th block nandini layout,unknown
from 14th to 26th main nandini layout,nandini layout
main valve,madiwala
1st main to 3rd main( 1st to 3rd cross),unknown
"sonnappa road, patel nanjappa road, back side of cement godown, sarounding area of satvik vidya mandir, 1st main to 5th main 4th block guruguntepalya",unknown
"yallama temple road, back side of kuvempu statue,down side of poojamma temple,",unknown
"poojamma temple main road, parmesh house road, upstream of poojamma temple,",unknown
"arvind garment road, back side of kannika parameswari temple, anjanya temple road",dharmarayaswamy temple ward
parimala nagar,aramane nagar
"3rd cross to 5th cross( opp & back side of kariyappa houe), gas godown road",unknown
"gas godown up stearm, gim road, shooting house road",unknown
"anu public school road ,",ulsoor
3rd to 6th cross parimala nagar,hoysalanagar
ramkrishna nagar,prakashnagar
3rd to 5th cross back side of rajrajeswari school,unknown
"ganesha temple road, back side of temple road, 1st a main road",unknown
3rd cross and 4th cross back side of dr. rajkumar samadi,dr. rajkumar ward
1st to 3rd cross and park road ramkrishna nagar,unknown
9th main to 10th main shankar nagar 1st cross to 3rd cross,unknown
back side of vijiyanand nagar,lakshmidevinagar
gajanana slum 1,jayanagar east
gajanana slum 2,jayanagar east
"kirloskar foundry slum, soap factory road",unknown
goutam nagar,sudamnagar
"industries, back side of mei factory , towards halidiram, cross domine factory road",unknown
ward 75 & ward 68,chowdeshwari ward
"12,13,14,15,16,17,18,19,20 & 21st main jc nagar(up to 8th cross)",unknown
"22,23,24 & 25th main, 15th main (10to 13th cross)",unknown
towards ramesh house 21st main,unknown
15th 13th cross to 20th cross,unknown
"15th 14th cross, 17th main 9th cross",unknown
vally collage road surrounding,kavalbyrasandra
21st f cross and other road of 21st f cross,unknown
"2nd stage rajajinagar,",rajajinagar
"a.k. colony, 1st & 2nd main road, opp. madduramma temple, 13th main, 14th main, railway paralal road,subramanya nagar.",unknown
"near arali tree, 14th,15th ,19th , 20th, 21 th main,  1st, 2nd & 3rd cross milk colony",unknown
"12th, 13th & 14 th main, subramanya nagar",subramanyanagar
"6th, 7th, 8th main d block 2nd stage rajajinagar",unknown
"9th, 10th, 11th main e block  2nd stage rajaji nagar",unknown
"12th main, 13th main, 14th main e block 2nd stage rajaji nagar.",unknown
"b block, c block gayithri nagar, balaji samudaya bhavan sorrounding, bbmp samudaya bhavan, subramanya nagar.",unknown
"11th, 12th & 13th main, e block 2nd stage, rajaji nagar",unknown
"5th, 6th, 7th, 8th main e block, 2nd stage rajajinagar.",unknown
"kethamaranahalli village, 1st n block , 1st r block, 1st k block, rajajinagar,",unknown
"sagar hotel road to punya dhama road, bwssb quarters, 4th, 5th cross 1st n block rajaji nagar.",unknown
rajaji nagar 1st r block from isckon to shell petrol bunk,unknown
balmohan school road kethamaranahalli village entire area,unknown
"17th cross, 18th cross, 19th cross 1st n block up to navarang road.",unknown
"19th a, b, c, d, e, f & g main",unknown
near kashi medical road to vidhya vardhaka school road.,unknown
"5th, 6th, 7th, 8th, 9th  cross, 1st n block,  rajajinagar.",unknown
"1st main road to 9th main road shivanahalli, 5th phase, 1st stg. & 6th phase, mahaganapathinagar",unknown
"1st main to 4th  main road, 3rd phase, manjunathnagar",unknown
"filling of oht at wcr -i supply to nagapura 2nd stage,akkamahadevi chowltry surrounding areaand part of indra nagara",unknown
"up stream adarsha layout,gayatri layout ,maruthi layoutand university layout",unknown
"down stream adarsha layout,gayatri layout ,maruthi layoutand university layout",unknown
"judges colony,bovi colony ,surrounding of vidyavardhaka college",unknown
"15th to 19th main-manjunathanagar & part of university layout,",unknown
"1st stg, 2nd phase, manjunathnagar",padmanabhanagar
"2nd stg, 1st phase, manjunathnagar",padmanabhanagar
indiranagar slum 1st cross to 6th cross&2phase manjunathnagar,unknown
indiranagar slum 7th cross to 12th cross,unknown
"5th main to 14th main-mlo, 11th cross to 13th cross-pipeline road",unknown
11th cross to 13th cross upto 5th main-mahalakshmi puram and pipeline road,unknown
"part of 3rd stg, 3rd blk,  basaveshwaranagar and sanegoravanahalli",agrahara dasarahalli
"part of 3rd stg, 3rd blk,  basaveshwaranagar surrounding of mathru nursing home",unknown
"kaveri nagar,anjaneya gudda,2nd stage karnataka layout",gali anjaneya swamy temple ward
"1st stage karnataka layout,vidyanagar,kurubarhalli,svk layout,,  gruhalakshimi layout 1st stg,",unknown
"vhbcs layout ,m g nagar slum,kirloskar layout,malleshwaram tailoring society",unknown
"nhcs, sbi staff colony, sanjayagandhinagar slum, shakthiganapathinagar",shakthiganapathi nagar
"vgns layout,kirloskar layout, teachers colony",unknown
"gruhalakshimi layout 2nd stg, beml layout 2nd stg.",radhakrishna temple ward
"bhuvaneshwarinagar, kirloskar,7th main, kamalanagar slum, kamalanagar, 1st main,6th main raod",unknown
"manivilas garden, beml layout,sbi officers colony, sharada colony,3rd stg,4th blk, shakthiganapathinagar 1st to 7th cross, sanjayagandhinagar 1st 'g ' cross, 3rd stg,4th blk",unknown
"kasturi layout, masque road, gangadhar school road,  kamalanagar slum,4th ,5th cross,  govt school, ngos colony,  kare angala, basavanna road, manivilas garden, church road, chandranagar slum",unknown
"vinayakanagar, maruthinagar, k.palya village, a.k.colony",unknown
"maruthinagar, sannakki bayalu, manivilas garden, part of ngo's colony",unknown
"karekallu, 1st main-k.palya, puttaiah road",unknown
"jc nagar, shakthiganapathinagar",shakthiganapathi nagar
"industrial town, kanteerava colony 1st main to 6th main, 10th 'b' cross and 13th cross - a.d.halli",unknown
"1st  & 2nd stg- khb colony, sharada colony, 1st to 7th main- meenakshinagar, 3rd stage, 4th block-basaveshwaranagar, part of a.d.halli",unknown
"9th cross, 2nd,3rd,4th,5th main,9th b cross,10th & 11th cross, 12th,12th a,b & 13th cross,13th a,b,c cross,a.d.halli",unknown
"14th a, b, c cross-a.d.halli (button factory area)",unknown
"up stream of 1st cross to 8th cross, 5th & 6th main,17th cross-a.d.halli, 4th stage, 4th block-b.nagar",unknown
down stream 1st cross to 8th cross between 2nd & 4th main - a.d.halli,unknown
"down stream of 6th block rajajinagar(10th a,b,c e,f and g mains)",unknown
"12th a,b & c 6th block rajajinagar",rajajinagar
rajeshwari nagar,rajarajeshwarinagar
friends cricle,karisandra
chamundi pura,hemmigepura
karanataka l/o,shankaramata
ganapathi nagar,shakthiganapathi nagar
iyengar layout,hsr layout
mec layout,btm layout
mei layout,btm layout
rajgopala nagar,rajagopalanagar
rajgopala nagar main road,rajagopalanagar
rajgopala nagar shanimahathma temple road,banashankari temple ward
rajgopala nagar slum,rajagopalanagar
peenya 2nd stage industrial area,peenya industrial area
peenya industrial area 4th phase,peenya industrial area
peenya industrial area 4th phase part,peenya industrial area
peenya industrial area 3rd stage,peenya industrial area
shivapura colony sapthagiri layout,kumaraswamy layout
shivapura 5th and 6th cross,shakthiganapathi nagar
gruhalakshmi layout,hsr layout
lakshmi devi nagar,lakshmidevinagar
lakshmi devi nagar near veena school,lakshmidevinagar
parvathi nagar near sln bakery,bharathinagar
kaveri nagar near kscb quarters,jayanagar east
kaveri nagar,srinagar
"vidhanasoudha layout (mon,wed,fri)",kumaraswamy layout
kempamma layout,btm layout
"nandhini laoyut (1st,2nd and 3rd block)",nandini layout
jai bhuvaneshwari nagar  and  sarrounding slum,rajarajeshwarinagar
"muneshwara temple road,",banashankari temple ward
srigandha nagar,gandhinagar
karim sab layout,kumaraswamy layout
doddanna industrial  estate,peenya industrial area
ip nagar,srinagar
kapila nagar and annapoorneshwari nagar part,rajarajeshwarinagar
annapoorneshwari nagar pillappanakatte,basaveshwaranagar
ramaiah layout,hsr layout
kempegowda layout,kempegowda ward
rajgopala nagar peenya 2nd stage,rajagopalanagar
shambhavi nagar,vrushabhavathi nagar
gkw layout,hsr layout
2nd stage rajgopala nagar main road,rajagopalanagar
doddanna estate,doddabommasandra
doddanna estate part,doddabommasandra
rajgopala nagar 1st cross to 12th cross,rajagopalanagar
rajgopala nagar 1st cross to 3rd cross,rajagopalanagar
rajgopala nagar 5th cross,rajagopalanagar
rajgopala nagar 6th and 9th cross,rajagopalanagar
kasthuri nagar,gayathrinagar
doddanna industrial estate,peenya industrial area
byraveshwara nagar,basaveshwaranagar
bank colony,binnypet
rajehswari nagar,rajarajeshwarinagar
basappana katte,basavanapura
rajeshwari nagar near dm public school,rajarajeshwarinagar
ambhi circle,doddabidirakalu
peenya 1st stage,peenya industrial area
peenya village,peenya industrial area
yeswanthapura sabhar,yeshwanthpur
peenya 2nd phase industrial area,peenya industrial area
peenya 3nd phase industrial area,peenya industrial area
nalagadaranahalli,nayandanahalli
guhalakshmi layout,hsr layout
hmt layout,hsr layout
nagasandra,singasandra
jodibhavi road,jnanabharathi ward
nagasandra colony,singasandra
vikasa nagar,vignananagar
vinayaka nagar,vignananagar
rukumini nagar,aramane nagar
belmar layout,hbr layout
kempaiah layout,kumaraswamy layout
vidya nagar,vijaynagar
chokkasandra,chokkasandra
netahaji nagar,rajajinagar
narayanapura,a. narayanapura
muneshwaranagara,muneshwaranagar
gundappa badavane,gurappanapalya
govt bus stop near,gottigere
ring road laggere,laggere
rajeevgandhinagara,jeevanbhimanagar
puspa bar road,pulikeshinagar
mount seneriya school near,peenya industrial area
preethi nagara,bharathinagar
vidhansoudha layout,hsr layout
l g ramanna layout,hsr layout
lavakushnagar,kushalnagar
laggere old village,laggere
narashimhaswamy layout,kumaraswamy layout
f f layout,hsr layout
chowdeshwari ngara,chowdeshwari ward
premanagar,prakashnagar
thirumala palace,ramaswamy palya
near ring road,chowdeshwari ward
srinivasanagar,shivanagar
madhuramma layout,kumaraswamy layout
maruthi markandeshwara layout,maruthi mandira ward
"pnt layout, mrs layout",btm layout
rudreshwari nagara,rajarajeshwarinagar
sollapuradamma layout,hsr layout
hoysala nagar,hoysalanagar
sanjeevininagar,jeevanbhimanagar
"1st stage , 2nd stage",unknown
hegganahalli gajanan nagar,shanthala nagar
hegganahalli old village,hegganahalli
freends colony,unknown
maruthi nagar,maruthiseva nagar
mayurnagar,jayanagar
shivanadh nagar,shivanagar
lakshman nagar,aramane nagar
gajanana nagar,dayanandanagar
vigneshwar nagar,muneshwaranagar
bus stop near,shanthala nagar
main valve at shani mahatma temple,banashankari temple ward
"ramamjaneya nagar, naidu layout",aramane nagar
sarvabhouma nagar,sarvagnanagar
"dodda gowdanapalya, 8th cross, durgamma temple, 10th cross, kempanna layout.",unknown
"srinivasa tent road, slum, chikka gowdanapalya, ganesha temple.",unknown
"a. manjunatha nagar b. ankappa layout 
c. behind shanthi sagar",unknown
udaya nagar 1st & 2nd cross,jayanagar east
"a. bharath housing b. ksrtc layout 
c. canara bank colony",unknown
a. balaji nagar b. shimhadri layout,nandini layout
near uttarahalli lake,uttarahalli
a. pp layout,hsr layout
happy valley /5th stage bda,vrushabhavathi nagar
ags layout,hsr layout
sapthagiri layout,hsr layout
a. uttarahalli village b. vinayaka layout c. narasamma layout d. appaiah swamy layout,unknown
main valve at kanakapura road,padarayanapura
nanjappa layout,nandini layout
"j c industrial area, bikasipura",peenya industrial area
konankunte cross,konanakunte
naidu layout,nandini layout
kenarabank road,konena agrahara
desai garden,s.k. garden
manthri trukle,mathikere
main valve at karthik bar,jnanabharathi ward
karthik bar,mathikere
kanakanagara,ganganagar
spoorthi nagar,srinagar
manjunath nagar,sanjaynagar
main valve at chamundi bar,padmanabhanagar
kashi nagar,prakashnagar
main valve at rc centre,bagalagunte
iliyaz nagar,jayanagar
rayakrishna nagar muniyappa,rajarajeshwarinagar
"4 a, b & c iliyaznagar 9th cross",jayanagar east
"1) jhbcs layout
2) bendre nagar 1st cross to 
     9th cross.",unknown
"1) eshwari nagar & 3rd cross 
    slum",rajarajeshwarinagar
"1) kadirenahalli under pass 
    100 ring road 
2) mahadeshwara theater
3) sapalamma temple
4) janatha colony up to 5th 
    main",unknown
"1) kadirenahalli govt 
    school, maramma temple 
    road 6th cross to 10th 
    cross",unknown
"1) meenaj nagar
2) bendre nagar 10th cross to 
     15th cross.",unknown
1) kanaka layout,kumaraswamy layout
"1) kadirenahalli shri shaila 
    school road. 5th cross to 
    7th cross  & kadirenahalli 
    village",unknown
"1) r k layout 2nd stage, 
    padmanabha nagar 80"" 
    road",padmanabhanagar
"1) sarrabande palya,
    hari colony umarbagh l/o 
    vivekananda colony",unknown
new bank colony 1 to 5th cross,unknown
"old bank colony 1st to 7th cross, chunchaghatta main road, sai mandira temple road, surabhi hotel back side, a.k.colony, rajanandhini hospital road,",unknown
"eshwar layout, yadavafarm, banasankari steel road, chunchaghatta main road, govt school back side.",unknown
"ganapathipura, 1to 13th cross, sharadha nagara, jss school back side, shivashakthi nagara, suprajanagara, renukambha nagara",unknown
"bheereshwara nagara, 1 to 8th cross, karmal jyothi school road, national public school road",unknown
"rbi layout, lakshminagara 1to 7th main, gururaghavendra layout, gourava nagara, navodaya nagara, shreyas colony, maruthi nagara, annapurneeshwari layout",unknown
"pailayout, pushpak farm 1 to 5th cross, 1 to 7th cross",unknown
"narayanappa layout, old post office road.",manorayanapalya
"anjanadrilayout, jayakumar layout,",kumaraswamy layout
"soudamini layout,",nandini layout
"annapurneshwari layout, telephone exchage road",banashankari temple ward
"pnb nagara, doctors layout",nandini layout
"narayananagara, block 1",sarvagnanagar
"narayananagara block 3 & mks layout, 5th a block",unknown
narayananagara block 2,sarvagnanagar
"sommanna layout ,vasantha vallabha nagra, kothnur village ,churchroad 1 to 5 th cross roads",unknown
"manjunatha layout ,krishanangara,maramma temple sorroundings ,a.k colony ,ganesha temple sorroundings along kothnur main road",unknown
"hari nagara ,ramya bar sorroundings,subbanna layout ,tch collage road sorroundings ,acharappa layout ,urdu school road sorroundings & 1st block, shanrathi nagara 8th phase",unknown
"ramamandira temple sorroundings ,vasavi road, ennar school sorroundings ,aditya nagara,k.c.a lyout ,n.r school opp road",unknown
"srinidhi l/o 5th main, shanmarg scool road ,srinidhi layout 8th main srinidhi layout 1st to 10th cross ,sbm layout 1st to 3rd cross,5th main 1st main 1st to 15th cross,raghavendra temple road,",unknown
"maruthi nagara 1st to 7th cross, krishna nagara 1to 7th cross, sharanya school road 1st to 5rd cross, k.c.a layout 1st to 4th cross.",unknown
"anjanapura bda layout, 1st block, 2nd block, 3rd block & 4th block,",unknown
"bda avalahalli 9th phase, 2nd block & 3rd block,",unknown
"h.m worldcity road & j.p.nagara 9th phase , 7th, 7th a block,",unknown
"t.k.deepak layout & j p nagara 8th phase, 2nd block near chaithanya school,",unknown
"life style apartment & j.p.nagara 8th phase 2nd block, 1st a block,",unknown
"kothnur village, kothnur dinne, kateramma layout, church road, somanna layout,",unknown
"surabhi nagara, jamboonagara, jamboosavari dinne, bgs layout, nayak layout, pavamananagara, gayathri thapovana & rajathadri layout",unknown
"nataraj layout, wilson garden, brigade apartment, santrupti nagar, sankranti layout, nrupatunga nagar, gautam layout, sancity layout,",unknown
"lakshmi layout, puttenahalli, bob colony, achappa layout, jagrathi colony, manjunatha layout",unknown
"vinayaka nagar, rose garden road, guna sheela layout, paradise colony, ramaiaha garden",unknown
"doreswami playa, venkatadri layout, panduranga nagar, k.r. layout 1st and 2nd stage, omkar nagar, govinda reddy layout, s.r.compound, brindavan layout, nanjappa layout, vijayshree layout, thimmappa reddy layout, sbi colony, ramaiaha city, sai enclave, aradhana layout, raghavendra layout, south city apartment, mantri apartment, classic orchid, bda layout, 1st stage and 2nd stage",unknown
"classic orchid, bda layout, 1st stage and 2nd stage",unknown
"ayodhya nagar, s.m.s layout, nanjundeshwara layout,",unknown
"astalakshmi layout,  dorabangala road, abhaya reddy layout, annaiah reddy layout inchara hotel backside",unknown
"sarakki garden, k.r layout,",kumaraswamy layout
j.p.nagar 6th phase,j.p.nagar
j.p.nagar 5th phase,j.p.nagar
"jaraganahalli, jyothi layout, chunchagatta main road, chikkawami layout, srinivasa kalyana mantapa road, gundamma layout, basavaraja layout, rajiv gandhi road, muni sanjappa layout, rosh garden,",unknown
"mantri elite apartment, kfc, dollars layout",unknown
"nayanapanahalli, bandepalya,suguma l/o,canara bank colony, avanisringeri nagar, saraswathi puram",unknown
"raghavendra l/o,kempamma l/o,pai l/o, dodamma l/o, janatha colony, temple street, muneshwara l/o,bhaghavathi l/o",unknown
"mutharaya swamy l/o, krishna l/o, hulimavu, someshwara l/o, shanthinektan l/o,vyshya bank c/o,rr layout, bda l/o,5th stage, bda l/o 8th stage",unknown
"nanjappa l/o, singh l/o, nathyppa l/o, chamundeshwari l/o,jai hanuman nagar, bts l/o,yellappa reddy l/o, priyadarshni c/o, smarat l/o,ramaswamy l/o,arakere main road,gopal reddy l/o, chamundehwari nagar",unknown
"nayanappanahalli, bande palya, sujuma l/o,canara bank colony, avani sringeri nagar, saraswathipuram",unknown
"muthuraya swamy l/o, krishna l/o, hulimavu, someshwara l/o,shanthinekthan l/o, vyasya bank c/o, rr l/o, bda l/o,6th stage, bda l/o 8th stage",unknown
"vijaya bank l/o, billekahalli village",bilekahalli
"gangamma l/o, sbi colony, anugraha l/o, duo enclave, bda l/o, 1st stage, raghavendra c/o, thanamma l/o, rajanna l/o, gandhi l/o, kattappa garden",unknown
"bda l/o,2nd stage, manjunatha l/o, someshwara l/o,thyappa garden, ramana shree enclave",unknown
"anugraha l/o, guru raja l/o, rajanna l/o, kch main road, devarachikkanahalli main road,anugraha l/o phase-ii, vijaya bank l/o",unknown
"vijayabank l/o,sbi l/o,anugraha l/o,phase-ii,bda l/o, 1st stage,2nd stage,manjunatha l/o, sarabhoma nagar, raghavendra c/o, raghavendra c/o, duo enclave, thanamma l/o, gandhi l/o,shanboagh l/o",unknown
"rotary nagar, sathya sai l/o, sbi l/o, supreme residency, lake city, kch village, nodamma l/o, kumba lake city, vijayashree l/o, vakil marina l/o, abhaya l/o",unknown
"n s palya 
abhayappa layout 
dollars layout 
p m kalyana mantapa",unknown
