Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
556,,,"1st to 7th Cross, P.W.D. Qtrs.,",Day 2,5:00am to 2:00pm
557,,,"Munireddy Palya, Marappa Block & Marappa Thota, A.K. Colony",Day 1,4:00am to 7:30am
558,,,"Pemmegowda Road, Chruch Rd.,",,7:30am to 11:30am
559,,,"Gundappa Block, Rajappa Block",,11:30am to 1:30pm
560,,,"Krishnamma Garden, Kempaiah Block, Anjinappa Block, Ankappa Block & All Cross",,4:00am to 6:30pm
561,,,E.S.I. Hospital,,8:00am to 10:00am
562,,,Gurappa Block,,8:00am to 10:00am
563,,,Patel Down,,8:00am to 10:00am
564,,,Rock Area,,8:00am to 12:00pm
565,,,1st to 6th Cross - Rahamathnagar,,8:00am to 10:00pm
566,,,1st to 4th Cross - Andanappa Block,,10:00am to 3:00pm
567,,,Matadahalli Ridge portion,Day 2,4:00pm to 8:00pm
568,,,Matadahalli Down Area & Step Down,,8:00pm to 10:00pm
569,,,"Mothinagar, Aralimara Down Area & Step Down, Harijana Colony, Adikabir Ashrama, Dobi Ghat",Day 1,10:00am to 12:00pm
570,,,1st to 4th Cross - Behind Radhakrishna Theater,Day 2,6:00am to 12:00pm
571,,,Defence Area,Day 1 & Day 2,24 Hours Supply
572,AEE NW1,Rajajinagar,"17th e, f, g, 18th, 18th A, B, C main and service road",Alternate days ,6.00am to 12.30 pm
573,,,"18th b, 18th a, 18th main, jedarahalli, 72nd cross 5th block rajajinagar, 20th main service road",,9.00am to 12.30pm
574,,,3rd block  51th cross to 60th cross rajajinagar,,6.00pm to 10.30pm
575,,,"65,64th cross 5th block rajainagar, chamundinagar ( bhashyam circle right)",,6.00pm to 10.30pm
576,,,"51st siddaramana dinne, 52, 53, 54, 55, 56th cross 4th block rajajinagar",,6.00pm to 10.30pm
577,,,"2nd, 3rd main , 43, 44th cross 4th block rajajinagar ",,6.00pm to 11.30pm
578,,,"64, 63,62,61,60th cross  5th block rajajinagar ( bhashyam circle right) ",,6.00pm to 12.30am
579,,,"46,47,48,49,50th cross infront of servioce station",,6.30pm to 2.00am
580,,,"7th,8,9th cross (right and left) ,  46th cross, siddaramanadinne, 4th block rajajainagar ",,6.30pm to 2.00am
581,,,"juganahalli, 12th main,36th cross, rajkumar road kle ground to 36th crooss connecting to dr rajkumar road",,6.30pm to 2.00am
582,,,"dr rajkumar road, 2nd, 3rd, 9th main, juganahalli",,6.30pm to 2.00am
583,,,"1st, 2, 3, 4, 5, 6th main and 57,57 A, 58, 59th cross 4th block rajajinagar",,6.30pm to 2.00am
584,,,"17th c, d, 53c, 53b, 16th main,  ( 67th, 66th, 67th A cross  5thy block  rajajinagar )",,7.30pm to 2.00am
585,,,"61,62,63,64,65,66,67,68th cross 5th block rajajinagar bhashyam circle left, bhuvaneshwari slum",,8.30pm to 2.00am
586,,,"61,62,63,64,65,66th cross 5th ( bhashyam circle left) block rajajinagar,  10th and 10th E main 4th E block rajajinagar",,10.00pm to 2.30 am
587,,,21st to 32nd cross 2nd block Rajajinagar,,10.00pm to 2.30 am
588,,,"13,14,15,16th cross, 56th cross 3rd y block rajajinagar ",,10.30pm to 3.00 am
589,,,"13,14,15,16, 42nd cross 3rd block rajajinagar",,10.30pm to 3.00 am
590,,,"36, 37, 38, 39, 40,  41st cross 2nd block rajajinagar",,10.30pm to 3.00 am
591,,,"57th, 59th crossv and 17 b main 5th block rajajinagar",,10.30pm to 3.00 am
592,,,"61,62,63,64,65,66,67,68,69,70,71,72nd cross 5th block (bhashyam circle right) ",,10.00pm to 6.00am
593,,,61st cross  5th block rajajinagar,,2.30Am to 6.30am
594,,,"harijana seva sangha, gavimata 5th block rajajinagar",,2.30Am to 6.30am
595,,,"68,69,70,71,72,73,74th cross 5th block rajajinagar ( nbhashyam circle left)",,2.30Am to 6.30am
596,,,"60 th cross 17th g main , 64,65,66th cross 5th block, service road (madhu bar)rajajinagar",,2.30Am to 6.30am
597,,,"1st, 2, 3, 4, 5, 6th main and 57,57 A, 58, 59th cross 4th block rajajinagar",,3.00am to 7.00am
598,,,"ssi area 1st,2,3,4,5th cross, RAJKUMAR ROAD sjr College  5th block rajajinagar, 4th m block 59th A  cross",,3.00am to 7.00am
599,,Prakashnagar ,1st cross 8th main prakashnagar near chicken shop,,7.30 to 5.00am
600,,,yamaha showroom down 10th main prakashnagar,,11pm to 5am
601,,,2nd cross sumathi kalyana mantapa 9th main ,,8.30 pm to 2am
602,,,"4,5,6th main prakashnagar near sumathi kalyana mantapa",,1.30 am to 5.30am
603,,,dhanlakshmi clinic opp to navran kabab corner,,12pm to 5am
604,,,Raghavendra swamy temple road 4th main 8th cross,,9pm to 1am
605,,,Mudaliyar choultry road prakash hotel road ,,12am to 5.30am
606,,,Ganigara sangha road 3rd main 3rd cross,,10.30pm to 1.30am
607,,,"Ganesha water supply road 4th cross 4,5,6th main ",,1.30am to 5.30am
608,,,yamaha showroom opposite 4th n block,,1.30am to 5.30am
609,,,3rd cross opposite to raghavendra swamy temple 1st to 5th main road,,12am to 5.30am
610,,,D block 1st main 1st to 4th cross near sai college,,9.30pm to 5.00am
611,,,krishnamurthy block praksahnabgar,,10.30pm to 5.00am
612,,,bayanna boundry area ,,11.30 to 4.30am
613,,,4th M block 6th block 1st to 3rd  main,,10.30 to 2am
614,,,6th block gopalpura main road ,,8.pm to 12.30am
615,,,7th block gopalpura main road ridge portion,,12.30 to 5.30am
616,,,1st main to 9th main lower portion and ridge portion ,,8pm to 5.00am
617,,,Gubbanna layout,,1.00 am to 5.30am
618,,Mahalakshmi layout,5th-7th cross Saraswathipuram,,5.30 am to 8pm
619,,,Jc nagar,,5.30am to 8pm
620,,,"Mico Layout,SRI RAM Nagar, 2nd stage 2nd phase, AGB layout, JS nagar",,5.30 to 10.30 pm 
621,,,Mico Layout,,5.30am to 4pm
622,,,1st main 1st to 13th cross jc nagar,,5.30am to 4pm
623,,,"3rd main , 3rd a main 1st to 6th cross SriRam nagar",,5.30am to 11am
624,,,14th A -C crosses 2nd stage 2nd phase WOC road,,5.30am to 11am
625,,,"AGB lyt, JS nagar, Saraswatipuram ",,5.30am to4pm
626,,,6th cross and 7th cross JS nagar,,5.30am to 1pm
627,,,Mahalkshmi Layout,,7:00 AM
628,,,1st  main Mahalkshmi Layout,,7 am to 12.30 pm
629,,,2nd main Mahalakshmi layout,,8 am to 12.30 pm
630,,,3rd main Mahalakshmi Layout,,9 am to 12.30 pm
631,,,"6th cross Further Extension(3rd cross 6th cross, 8th cross)",,7am to 1.00pm
632,,,4th D main Further Extension,,7am to 1.00pm
633,,,9th cross 4th B and A main Further Extension,,7am to 1.00pm
634,,,"1st, 2nd and 3rd cross Mahalakshmi layout",,7am to 1.00pm
635,,,15th D cross 2nd stage 2nd phase WOC road Mlpuram,,7am to 10am
636,,,1st and 2nd main 1st to 8th cross Bhovipalya,,7.am to 4pm
637,,,satyanarayana layout,,7am to 5.30pm
638,,,Ganesha block 8th main 5th cross to 7th cross,,7am to 12.30 am
639,,,5th to 7th cross Ganesha block  ,,7am to 10am
640,,,"2nd cross saraswatipura qtrs alf11,12",,7am to 10am
641,,,3rd cross saraswatipuram ridge portion,,7am to 10am
642,,,muneshwara blk package,,8am to 8pm
643,,,3rd cross 4th cross shanimahatma temple road,,8am to 12pm
644,,,5th cross to 11th cross nMahalakshmi layout,,8am - 12.30pm
645,,,to Over Head Tank mahalakshmi layout,,8am to 10am
646,,,12th Cross Bhovipalya Ridge portion,,8.30am to 12.30pm
647,,,12th Cross Bhovipalya Lower portion,,8.30am to 12.30pm
648,,,11th cross Bhovipalya,,8.30am to 1pm
649,,,10th cross lower portion,,8.30 to 12.30pm
650,,,10th cross Ridge portion,,8.30 to 12.30pm()
651,,,ridge portion 9th cross Bhovipalya,,8.30am to 12.30pm
652,,,5th main Mahalakshmi Layout,,8.30-12.30pm
653,,,8th cross and12th cross Mahalakshmi layout,,8.30am to 12.30pm
654,,,Mahalakshmi layout 5th cross to 11th cross and 5th and 6th main,,8.30am to 11.30am
655,,,13th - 15th cross Mahalakshmi layout,,8.30am to 11.30am
656,,,15th c cross 14th A-C cross behind Adichunchungiri hostel,,9am to 4.30pm
657,,,"Muneshwara, ganesha blk, saraswatipuram",,9am to 8pm
658,,,3rd and 4th cross Ganesha block,,9.am to 11.30am
659,,,1st cross saraswatipura,,9am to 12pm
660,,,"muneshwara blk 3rd cross, 4th cross, 15th cross, 6th main",,11am to 7pm 
661,,,2nd cross saraswatipura,,11am to 2pm
662,,,8th and 9th cross saraswatipura,,11.30am to 1pm
663,,,8th cross saraswatipura,,11.30am to 1pm
664,,,1st to 3rd cross Muneshewara block 2nd main sallapurdamma temple road,,12pm to 8pm
665,,,1st-5th cross Mahalakshmi layout,,12.30pm-5.30pm
666,,,5th cross Mahalakshmi layout,,12.30pm-5.30pm
667,,,Lower portion 9th cross Bhovipalya,,12.30pm to 5.30pm
668,,,JC nagar 9th main and 6th a main,,12.30pm to 5.30pm
669,,,"6th a main 4th to 9th cross jc nagar, 15th cross jc nagar",,12.30pm to 1.30pm
670,,,ganesha block tent package,,12.30pm to 4pm
671,,,4th-8th main lower portion ganesha block tent road,,12.30pm to 2pm
672,,,1st to 10th main ganesha block,,12.30pm to 4pm
673,,,15th cross and 15th d cross lower portion Mahalakshmi layout,,1pm to 5.30pm
674,,,7th cross to 15th cross jc nagar 60ft road,,1pm to 7pm
675,,,"Alf qtrs saraswatipura,",,1pm to4pm
676,,,5th and 6th cross 9th main jc nagar,,1.30pm to 3pm
677,,,1st to 9th main ridge portion,,2pm to 4pm
678,,,10th main ganesha block,,2pm to 4pm
679,,,4th cross Saraswatipura,,2pm to 5pm
680,,,4th cross Saraswatipura Ridge portion,,2pm to 5 pm
681,,,2nd to 4th cross 9th main jc nagar,,3pm to 6pm
682,,,15th A-C cross 2nd stg 2nd phase WOC road,,4pm to 7pm 
683,,,saraswatipuram 5th cross ,,4pm to 7pm
684,,,"6th cross and 7th cross saraswatipuram,",,3.30pm to 5.30pm
685,,,7th -9th cross 9th main jc nagar,,6pm to 8pm
686,,,muneshwara blk Gas godown rod Ridge portion,,5.30pm to 8.30pm
687,,Nandini layout,"to Srikanteswar nagar, Shankar nagar, RMC yard And Shsok pura, Marapanapalya",,8.30pm to 10am
688,,,1st main 1st cross to 8th cross Sriknteswara nagar,,10 pm to 6am
689,,,2nd main Sriknteswara nagar,,6am to 12.30pm
690,,,"5th, 6th and 6th A main Srinkateswar nagar",,10pm to 5.0am
691,,,4th & 3th main Srikanteswar nagar,,5.0am to 10.30am
692,,,"Main road 1st & 2nd cross marapanpalya,",,5am to 8.30am
693,,,"Ashokpura, indutrial area",,10pm to 6am 
694,,,1st main to 5th main shankar nagar,,8.30 to 10.00am
695,,,6th main to 9th main shankar nagar,,10.30pm to 10.30m
696,,,1st main  fro 1st cross to 5th cross vijiyand nagar,,10.30pm to 1.0am
697,,,"1st & 2nd main,3rd and 4th cross vijayanad nagar",,10.30pm to 1.0am
698,,,Back side of majeed,,10.30pm to 1.0am
699,,,3rd to 5th main Vijiyanad nagar,,10.30pm to 1.0am
700,,,down stream of 5th main and 4th cross,,1.0am to 4.am
701,,,towards Raju gowda house and 4th cross,,1.0am to 4.am
702,,,4th & 5th cross back side of Mumeswar temple,,1.0am to 4.am
703,,,1st main road,,1.0am to 4.am
704,,,Back side of KS bakery road,,4.0am to 10.00am
705,,,Spmandana hospital road,,10.30pm to 1.0am
706,,,Kumar house road up to RMC yad compound,,1.0am to 4.am
707,,,Honnalamma temple road and baack side of samudaybhavan,,4.am to 7.am
708,,,3rd and 4th cross krisnand nagar,,10.30pm to 1.0am
709,,,from 1st block to 13th block,,1.0am to 4.am
710,,,towards Jingadi school road,,10.30pm to 4am
711,,,Rajeev gandhi nagar 1st main to 9th main,,10.30pm to 5am
712,,,"1st main, 1st cross to 8th cross kanteeruva form",,3am to 9.am
713,,,2nd & 3rd main ( 1st cross to 6th cross) Kanteeruva form,,11pm to 2am
714,,,2nd & 3rd main ( 7th & 8th cross) Kanteeruva form,,2am to 6am
715,,,1st main & 2nd main ( 1st to 5th cross ) Narashimha layout,,6am to 8am
716,,,2nd cross to 7th cross kanteeruva nagar 2nd stage,,"8am to 12.30 p,"
717,,,"Bavi road, Majjid road, 10th cross mahesh house road",,9.00pm to 11.30pm
718,,,"bande road, back side of majeet road,and dead end road",,11.30pm to 3.00Am
719,,,Bettegowda house road,,3am to 6.30am
720,,,"2nd main hattimara road, baskar house road, bande road, upto Railway narayan house",,6.30am to 8am
721,,,"Ambabavani temple road , partial area of Bande road, bellow bande road",,8.30pm to 10.am
722,,,1st cross park road upt Ambabavani temple back side,,11.30pm to 2am
723,,,"1st & 2nd 6th cross, JM nagar Gim road",,2am to 7.30am
724,,,2nd main up to 3rd main ,,7.30tam o 10.30am
725,,,from 6th cross to 9th cross,,5am to 7am
726,,,"HM nayak main road, back side of temple 1st cross Ravi badavane",,5am to 7am
727,,,"Rangappa house road, Sarasvati school road",,7am to 9am
728,,,Sakamma layout,,9am to 10am
729,,,narashimaswamy layout,,9am to 10am
730,,,srinivas nagar,,7am to 9am 
731,,," BDA flats fro MF 1 to MF28, LF",,9am to 10am
732,,,ALF 1 to 5,,8am to 10.30am
733,,,LF 21 to LF58 & MF 30 to MF54,,8.30am to 11.am 
734,,,from 7th main to 13th main of 1st and 2nd cross 4th block Nandini layout,,11am to 1pm
735,,,from 14th to 26th main nandini layout,,8am to 10.30am
736,,,main valve,,5am to 10.30 am
737,,,main valve,,7.30am to 10.30am 
738,,,1st main to 3rd main( 1st to 3rd cross),,9pm to 10.30am
739,,,"Sonnappa road, Patel nanjappa road, back side of Cement godown, sarounding area of Satvik vidya mandir, 1st main to 5th main 4th block Guruguntepalya",,9.30pm to 10.30am 
740,,,"Yallama temple road, Back side of Kuvempu statue,down side of Poojamma temple, ",,9.30 to 4am
741,,,"Poojamma temple main road, Parmesh house road, upstream of Poojamma temple,",,9.30 pm to 4.am 
742,,,"Arvind garment road, back side of Kannika parameswari temple, Anjanya temple road",,4.am to 10.30am 
743,,,parimala nagar,,9.30 pm to 10am
744,,,"3rd cross to 5th cross( opp & back side of kariyappa houe), Gas godown road",,10.30pm to 1.0am
745,,,"Gas godown up stearm, GIM road, Shooting house road",,1.0am to 4am
746,,,"Anu public school road ,",,4am to 6am
747,,,3rd to 6th cross Parimala nagar,,6.0am to 10am
748,,,Ramkrishna nagar,,10.pm to 8am
749,,,3rd to 5th cross back side of Rajrajeswari school,,10.30pm to 1.30am
750,,,"Ganesha temple road, back side of temple road, 1st A main road",,1.30 am to 4.0am
751,,,3rd cross and 4th cross Back side of Dr. Rajkumar Samadi ,,4am to 6am
752,,,1st to 3rd cross and park road ramkrishna nagar,,6am to 8.30am 
753,,,9th main to 10th main shankar nagar 1st cross to 3rd cross,,10.30pm to 5.am
754,,,Back side of Vijiyanand nagar,,5.am to 10.am
755,,,Gajanana slum 1,,5.am to 10.am
756,,,Gajanana slum 2,,10.30pm to 5am
757,,,"Kirloskar foundry slum, soap factory road",,10.30pm to 5am
758,,,Goutam nagar,,5.am to 9.30am
759,,," Industries, back side of MEI factory , towards Halidiram, Cross domine factory road",,5am to 10.am
760,,,Ward 75 & Ward 68,,4.30am to 10pm
761,,,"12,13,14,15,16,17,18,19,20 & 21st main JC nagar(up to 8th cross)",,4.30am to 7.am
762,,,"22,23,24 & 25th main, 15th main (10to 13th cross)",,7.30am to 11.30am
763,,,Towards Ramesh house 21st main,,7.30am to 11.30am
764,,,15th 13th cross to 20th cross,,12pm to 6pm
765,,,"15th 14th cross, 17th main 9th cross",,6pm to 8pm
766,,,Vally collage road surrounding ,,12pm to 2pm
767,,,21st F cross and other road of 21st F cross,,2pm to 8pm 
768,,,"2nd Stage Rajajinagar, ",,6:00 PM to 06:00 AM
769,,Kethmaranahalli,"A.K. Colony, 1st & 2nd Main Road, Opp. Madduramma Temple, 13th Main, 14th Main, Railway Paralal Road,Subramanya Nagar.",,6:00 PM to 10:00 PM
770,,,"Near Arali Tree, 14th,15th ,19th , 20th, 21 th main,  1st, 2nd & 3rd Cross Milk Colony",,6:00 PM to 10:00 PM
771,,,"12th, 13th & 14 th Main, Subramanya Nagar",,11:00 PM to 6:00 AM
772,,,"6th, 7th, 8th Main D Block 2nd Stage Rajajinagar",,6:00 PM to 11:00 PM
773,,,"9th, 10th, 11th Main E Block  2nd Stage Rajaji Nagar",,11:00 PM to 6:00 AM
774,,,"12th main, 13th Main, 14th Main E Block 2nd Stage Rajaji nagar.",,11:00 PM to 6:00 AM
775,,,"B Block, C Block Gayithri Nagar, Balaji Samudaya Bhavan sorrounding, BBMP Samudaya Bhavan, Subramanya Nagar.",,11:00 PM to 6:00 AM
776,,,"11th, 12th & 13th Main, E Block 2nd Stage, Rajaji Nagar",,12:00 AM to 6:00 AM
777,,,"5th, 6th, 7th, 8th Main E Block, 2nd Stage Rajajinagar.",,12:30 AM to 6:00 AM
778,,,"Kethamaranahalli Village, 1st N Block , 1st R Block, 1st K Block, Rajajinagar, ",,6:00 PM to 06:00 AM
779,,,"Sagar Hotel Road to Punya Dhama Road, BWSSB Quarters, 4th, 5th Cross 1st N Block Rajaji Nagar.",,6:00 PM to 10:00 PM
780,,,Rajaji nagar 1st R Block from ISCKON to Shell Petrol Bunk,,6:00 AM to 03:30 PM
781,,,Balmohan School Road Kethamaranahalli Village Entire Area,,10:00 PM to 6:00 AM
782,,,"17th Cross, 18th Cross, 19th Cross 1st N Block up to Navarang Road.",,10:00 PM to 6:00 AM
783,,,"19th A, B, C, D, E, F & G Main",,08:00 PM to 6:00 AM
784,,,Near Kashi Medical Road to Vidhya Vardhaka School Road.,,08:00 PM to 6:00 AM
785,,,"5th, 6th, 7th, 8th, 9th  Cross, 1st N Block,  Rajajinagar.",,10:00 PM to 6:00 AM
786,,WCR-I,"1st main road to 9th main road Shivanahalli, 5th phase, 1st Stg. & 6th phase, Mahaganapathinagar ",4.00 am to 1.00 pm,Day1
787,,,"1st main to 4th  main road, 3rd phase, Manjunathnagar ",,Day1
788,,,"Filling of OHT at WCR -I Supply to Nagapura 2nd stage,akkamahadevi chowltry surrounding areaand part of indra nagara",5.30am to 11.00AM ,
789,,,"UP STREAM Adarsha layout,Gayatri layout ,Maruthi layoutand University layout   ", 8.0 am to 12.00 Noon              ,Day1
790,,,"  DOWN STREAM Adarsha layout,Gayatri layout ,Maruthi layoutand University layout",   6.00 PM TO 4.00AM    ,
791,,,"Judges colony,bovi colony ,Surrounding of vidyavardhaka college ",2.0 pm to 9.0pm,Day1
792,,,"15th to 19th Main-Manjunathanagar & part of University layout,",9.0pm to 4.0am,
793,,,"1st stg, 2nd phase, Manjunathnagar ",5.0pm to 11.0pm,Day1
794,,,"2nd stg, 1st phase, Manjunathnagar ",,Day1
795,,,Indiranagar Slum 1st cross to 6th cross&2phase manjunathnagar,6.0 PM to 11.0 pm,Day1
796,,,Indiranagar Slum 7th cross to 12th cross,11.0pm to 8.0am,
797,,,"5th Main to 14th Main-MLO, 11th Cross to 13th Cross-Pipeline Road ",8.0am to 4.0 pm,
798,,,11th Cross to 13th Cross upto 5th Main-Mahalakshmi puram and pipeline road ,8.0 am to 4.0 pm,
799,,,"part of 3rd Stg, 3rd Blk,  Basaveshwaranagar and Sanegoravanahalli ",7.0am to 1.0 pm,
800,,,"part of 3rd Stg, 3rd Blk,  Basaveshwaranagar surrounding of Mathru nursing home ",9.00 pm to 4.00am,
801,,WCR-II,"Kaveri Nagar,Anjaneya gudda,2nd stage karnataka layout",4.0 pm to 9.0 pm,Day1
802,,,"1st stage karnataka layout,vidyanagar,kurubarhalli,svk layout,,  Gruhalakshimi Layout 1st Stg,",9.0pm to 2.0am,Day1
803,,,"VHBCS layout ,M G nagar slum,kirloskar layout,Malleshwaram Tailoring Society",2.0am to 6.0am,
804,,," NHCS, SBI Staff Colony, Sanjayagandhinagar slum, Shakthiganapathinagar",6 AM to 12 Noon,Day1
805,,,"VGNS layout,Kirloskar Layout, Teachers Colony",6.00am  to 1.00 PM,Day1
806,,,"Gruhalakshimi Layout 2nd stg, BEML Layout 2nd stg. ",11.00 AM to 4.00 PM,Day1
807,,,"Bhuvaneshwarinagar, Kirloskar,7th main, Kamalanagar Slum, Kamalanagar, 1st main,6th main raod ",6.00 am to 4.00 pm,Day1
808,,,"Manivilas Garden, BEML Layout,SBI Officers Colony, Sharada Colony,3rd stg,4th blk, Shakthiganapathinagar 1st to 7th cross, Sanjayagandhinagar 1st 'G ' cross, 3rd stg,4th blk ",9 PM to 4 AM,
809,,,"Kasturi Layout, Masque road, Gangadhar School road,  Kamalanagar slum,4th ,5th cross,  Govt School, NGOS Colony,  Kare angala, Basavanna road, Manivilas garden, church road, Chandranagar slum ",6AM to 4 PM,
810,,K.Palya,"Vinayakanagar, Maruthinagar, K.Palya village, A.K.Colony ",6.00 am to 4.00 pm,
811,,,"Maruthinagar, Sannakki Bayalu, Manivilas Garden, part of NGO's colony ",,
812,,,"Karekallu, 1st Main-K.Palya, Puttaiah Road ",7.00 am to 1.30 pm,Day1
813,,,"       JC Nagar, Shakthiganapathinagar",6.00 am to 11.00am,Day1
814,,,"Industrial Town, Kanteerava colony 1st Main to 6th Main, 10th 'B' Cross and 13th Cross - A.D.Halli ", 7AM to 1.00 PM,Day1
815,,,"1st  & 2nd Stg- KHB colony, Sharada Colony, 1st to 7th Main- Meenakshinagar, 3rd Stage, 4th Block-Basaveshwaranagar, part of A.D.Halli",9.00 pm to 4.00 am,
816,,,"9th Cross, 2nd,3rd,4th,5th main,9th B cross,10th & 11th Cross, 12th,12th A,B & 13th cross,13th A,B,C cross,A.D.Halli  ", 9.00AM to 1.00 PM,
817,,,,9.00pm to 4.00am,
818,,,"14th A, B, C Cross-A.D.Halli (Button Factory Area) ",,Day1
819,,,"Up stream of 1st Cross to 8th Cross, 5th & 6th Main,17th Cross-A.D.halli, 4th Stage, 4th Block-B.Nagar ",,
820,,,Down stream 1st Cross to 8th Cross between 2nd & 4th Main - A.D.Halli ,,
821,,,"Down stream of 6th Block Rajajinagar(10th A,B,C E,F and G Mains)",1.00 pm to 6.00 pm,Day1
822,,,"12th A,B & C 6th block rajajinagar",8.00 am to 1.00 pm,
823,AEENW-3,PEENYA,Rajeshwari nagar,Alternate ,7.00 AM
824,,,Friends Cricle,,11.00 AM
825,,,Chamundi pura,,7.00 AM
826,,,Karanataka L/O,,11.00 AM
827,,,Ganapathi nagar,,7.00 AM
828,,,Iyengar Layout ,,7.00 AM
829,,,MEC Layout ,,7.00 AM
830,,,MEI Layout ,,12.00 PM
831,,,Rajgopala nagar,,7.00 AM
832,,,Rajgopala Nagar main road,Weekly Twice,1.00 PM
833,,,Rajgopala nagar shanimahathma temple road ,,7.00 AM 
834,,,Rajgopala nagar slum ,,2.00 PM
835,,,Peenya 2nd stage Industrial area ,,9.00 AM 
836,,,Peenya Industrial area 4th phase ,,6.00 PM
837,,,Peenya Industrial area 4th phase part ,,6.00 PM
838,,,Peenya Industrial Area 3rd stage,,6.00 AM
839,,,Shivapura Colony Sapthagiri Layout ,Alternate ,7.00 AM
840,,,Shivapura 5th and 6th cross,,2.00 PM
841,,,Gruhalakshmi Layout ,,11.00 AM
842,AEENW-3,PEENYA,Lakshmi Devi nagar ,Weekly Twice ,10.00 AM
843,42,,Lakshmi Devi nagar near Veena School,,5.00 AM
844,42,,Parvathi nagar near SLN Bakery,,5.00 AM
845,42,,Kaveri nagar near KSCB Quarters,,12.00 PM
846,42,,Kaveri nagar ,,12.00 PM
847,42,,"Vidhanasoudha Layout (Mon,Wed,Fri)",Alternate ,1.00 PM
848,42,,Kempamma Layout ,,5.00 PM
849,42,,"Nandhini Laoyut (1st,2nd and 3rd block) ",Weekly Twice ,}
850,42,,Jai Bhuvaneshwari nagar  and  sarrounding Slum ,,
851,AEENW-3,PEENYA,"Muneshwara Temple Road,",Alternate ,7.00 AM 
852,,,Srigandha nagar ,,2.00 PM
853,,,Karim Sab Layout,,7.00 AM 
854,,,Doddanna Industrial  Estate ,,2.00 PM
855,,,IP Nagar ,Weekly Twice ,7.30 AM
856,,,Kapila Nagar and Annapoorneshwari nagar Part ,,9.30 AM 
857,,,Annapoorneshwari nagar Pillappanakatte,,12.30 PM
858,,,Ramaiah Layout ,Alternate ,7.00 AM 
859,,,Kempegowda Layout ,,12.00 PM
860,,,Rajgopala Nagar Peenya 2nd stage,,8.00 AM
861,,,Rajgopala Nagar main road ,,1.00 PM 
862,,,Ramaiah Layout ,,6.30 AM
863,,,Doddanna Industrial  Estate ,Weekly Twice ,2.00 PM
864,,,Shambhavi nagar,,6.00 AM
865,,,GKW Layout ,,7.00 AM 
866,,,Rajgopala Nagar,,8.00 AM
867,,,2nd stage Rajgopala nagar main road,,1.00 AM
868,,,Ramaiah Layout ,,6.30 AM
869,,,Doddanna Estate ,,2.00 AM
870,,,Doddanna Estate Part  ,,6.30 AM 
871,,,Shambhavi nagar ,,6.00 AM
872,,,GKW Layout ,,7.00 AM 
873,,,Rajgopala nagar 1st cross to 12th cross ,,7.00 AM 
874,,,Rajgopala Nagar 1st cross to 3rd cross ,Alternate ,7.00 AM
875,,,Rajgopala nagar 5th cross ,,10.00 AM
876,,,Rajgopala nagar 6th and 9th cross ,,12.00 PM
877,,,Kasthuri nagar ,,7.00 AM
878,,,Kasthuri nagar ,,12.00 PM
879,,,Doddanna Industrial Estate,,9.00 AM
880,,,Byraveshwara Nagar ,,7.00 AM
881,,,Bank colony ,,7.00 AM
882,,,Rajehswari nagar ,Weekly Twice ,7.00 AM
883,,,Basappana katte,Alternate ,7.00 AM
884,,,Rajeshwari nagar near DM public school,Weekly Twice ,7.00 AM
885,,,Ambhi Circle ,,11.00 AM
886,AEENW-3,PEENYA 38 &39,Peenya 1st stage,Alternate ,7.00 AM
887,,,Peenya village,,8.00 AM
888,,,Yeswanthapura sabhar,,8.00 AM
889,,,Peenya 2nd Phase Industrial area ,,7.00 AM
890,,,Peenya 3nd Phase Industrial area ,,7.00 AM
891,AEENW-3,PEENYA 38 &39,Nalagadaranahalli,Weekly Twice ,8.00 AM
892,,,Guhalakshmi Layout,,8.00 AM
893,,,HMT Layout,,8.00 AM
894,,,Nagasandra,,8.00 AM
895,,,Jodibhavi Road,,8.00 AM
896,,,Nagasandra Colony,Alternate ,8.00 AM
897,,,Vikasa Nagar,,8.00 AM
898,,,Vinayaka Nagar,Weekly Twice ,8.00 AM
899,,,Rukumini Nagar,,8.00 AM
900,,,Belmar Layout,,8.00 AM
901,,,Kempaiah Layout,,8.00 AM
902,,,Vidya Nagar,,8.00 AM
903,,,Chokkasandra,,8.00 AM
904,,,Netahaji nagar,,8.00 AM
905,,,Narayanapura,,8.00 AM
906,,,,,
907,AEENW-3,HEGGANAHALLI,Muneshwaranagara,,7.00 AM
908,,,Gundappa Badavane,,7.00 AM
909,,,Govt Bus Stop near,,7.00 AM
910,,,Ring Road Laggere,,7.00 AM
911,,,Rajeevgandhinagara,,7.00 AM
912,,,Puspa Bar Road,,7.00 AM
913,,,Mount seneriya School near,,7.00 AM
914,,,Preethi Nagara,,11.00 PM
915,,,Vidhansoudha Layout,,11.00 PM
916,,,L G Ramanna Layout,,7.00 AM
917,,,Lavakushnagar,,7.00 AM
918,,,Byraveshwara Nagar ,,7.00 AM
919,,,Laggere Old Village,,7.00 AM
920,,,Narashimhaswamy Layout,,7.00 AM
921,,,F F Layout,,7.00 AM
922,AEENW-3,HEGGANAHALLI,Chowdeshwari Ngara,,7.00 AM
923,,,Premanagar,,7.00 AM
924,,,Kempegowda Layout,,7.00 AM
925,,,Thirumala Palace,,7.00 AM
926,,,Near Ring Road,,7.00 AM
