Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
41,,,"Shivan Chetty Garden, Police Lane, Clarkspet, St.John's Road, Osborne Layout, Rukmini Colony, Anna Swamy Modaliar Road.",,1.00 P.M to 6.00 P.M
42,,,"M.E.G, Assaye Parade.",,6.00 P.M to 4.00 A.M
43,Central -3,Pillanna Garden-1,BDA layout and Karimariyamma nagar 1 to 4th cross ,Tue 11:00 pm to Wed 6:00am,Tue 11:00 pm to Wed 6:00am
44,,,"Shivaraj road ,Kupum compound,S R block ",Wed 5.00am to Wed 11:00pm,Wed 5.00am to Wed 11:00pm
45,,,"Anwar layout ,S R block 1,2,3 rd cross ",Wed 11.00am to Wed 2:00pm,Wed 11.00am to Wed 2:00pm
46,,,Chikkanna layout ,Wed 2:00Pm to Wed 4:00pm,Wed 2:00Pm to Wed 4:00pm
47,,,Ramatent roadall cross 1 st main kushalnagar ,Wed 2:00Pm to Wed 6:00pm,Wed 2:00Pm to Wed 6:00pm
48,,,Kushal nagar Half area ,Wed 6:00Pm to Wed 10:00pm,Wed 6:00Pm to Wed 10:00pm
49,,,"coffe board colony ,BNC block ",Wed 4:00Pm to Wed 6:00pm,Wed 4:00Pm to Wed 6:00pm
50,,,Sopiya high school ,Wed 6:00Pm to Wed 8:00pm,Wed 6:00Pm to Wed 8:00pm
51,,,"126,2 nd Sopiya high school ",Wed 8:00Pm to Wed 10:00pm,Wed 8:00Pm to Wed 10:00pm
52,,,1 and  2nd Main Vishweshwarnagar and Kaveri nagar ,Wed 10:00Pm to Wed 12:00pm,Wed 10:00Pm to Wed 12:00pm
53,,,"1,2,3,4,5,6, cross dubia layout and Anwar school Road ",Wed 12:00am to Wed 2:00am,Wed 12:00am to Wed 2:00am
54,,,1 st to 9 th cross muneshwar nagar and 1 st cross Basavanagar and ashoka nagar ,Wed 2:00am to Wed 6 am :00pm,Wed 2:00am to Wed 6 am :00pm
55,,,"Kushal nagar 6 th to 11 th cross Saukar lane,basavanagar 1,2,3, cross Visweshwar nagar 10 th to 14 th cross ",Thu 11:00pm to Thu 6:00 am,Thu 11:00pm to Thu 6:00 am
56,,, 1st to 9 th cross Muslim colony and 2 nd Stage Garden ,Thu 4:00am to Thu 9:00 pm,Thu 4:00am to Thu 9:00 pm
57,,,Anwar layout and 1 st main Doddannanagar ,Fri 9:00 pm to Fri 12:00 am ,Fri 9:00 pm to Fri 12:00 am 
58,,,BDA layout and Karimariyamma nagar 1 to 4th cross ,Sat 11:00pm to Sun 6:00am,Sat 11:00pm to Sun 6:00am
59,,,Basavanagar,Sat 11:00pm to Sun 5:00am,Sat 11:00pm to Sun 5:00am
60,,,"Shivaraj road ,Kupum compound,S R block ",Sun 5:00am to Sun 11:00pm,Sun 5:00am to Sun 11:00pm
61,,,Chikkanna layout ,Sun 11:00am to Sun 1:00pm,Sun 11:00am to Sun 1:00pm
62,,,Ramatent roadall cross 1 st main kushalnagar ,Sun 1:00pm to Sun 2:00pm,Sun 1:00pm to Sun 2:00pm
63,,,Kushal nagar Half area ,Sun 6:00pm to Sun 11:00pm,Sun 6:00pm to Sun 11:00pm
64,,,"coffe board colony ,BNC block ",Sun 1:00pm to Sun 3:00pm,Sun 1:00pm to Sun 3:00pm
65,,,Sopiya high school ,Sun 3:00pm to Sun 5:00pm,Sun 3:00pm to Sun 5:00pm
66,,,"126,2 nd Sopiya high school ",Sun 5:00pm to Sun 9:00pm,Sun 5:00pm to Sun 9:00pm
67,,,1 and  2nd Main Vishweshwarnagar and Kaveri nagar ,Sun 9:00pm to Sun 11:00pm,Sun 9:00pm to Sun 11:00pm
68,,,"1,2,3,4,5,6, cross dubia layout and Anwar school Road ",Sun 11:00am to Sun 1:00pm,Sun 11:00am to Sun 1:00pm
69,,,1 st to 9 th cross muneshwar nagar and 1 st cross Basavanagar and ashoka nagar ,Sun 1:00am to Sun 5:00pm,Sun 1:00am to Sun 5:00pm
70,,,"Periyar nagar ,A  K colony ,",Day 1,Day 1
71,,,"Gova garden ,sonnappa block all crosses , ,Zia street ",Day 2,Day 2
72,,,"Chikkanna lane ,Doddnna lane ,Ayyodas nagar All crosses ",Day 3,Day 3
73,,,"Malik sab road all crosses .Jani bia lane , Old mandraso factory ,",Day 4,Day 4
74,,,"Shadab nagar ,Lababin masjid all crosses",Day 5,Day 5
75,,,"Modi Road all Crosses ,Hushaniya masjid,Ac flat Panjab lane all crosses ,Mission Compound all crosses,",Day 6 ,Day 6 
76,,,"Edga mola,Bangara giri ,Subramanya temple,Kaliyappa street,",Day 7,Day 7
77,,Pillanna Garden-2,"Sonnappa Block, Church Rd, Parijatha 11th 12th 13th ",Mon:7:00am to Mon10:00pm,Mon:7:00am to Mon10:00pm
78,,,"Hidayath Nagara, Mukthinagara, Lidkar colony, Sate Lane Chuna 1, 2 & 3, Gandhinagar, Samadhana nagara, Basavanagar 1st and 4th Cross",Mon:7:00am to Tue4:00am,Mon:7:00am to Tue4:00am
79,,,"Makk Maszid, Gas Bunk, Taha Masjid, Sophia School, Aat Dukan.",Mon:8:00am to Mon11:00pm,Mon:8:00am to Mon11:00pm
80,,,"Tegraph Street,",Mon:3:00pm to Mon07:00pm,Mon:3:00pm to Mon07:00pm
81,,,2nd Cross Arogyamm Layout,Mon:3:00am to Tue05:00am,Mon:3:00am to Tue05:00am
82,,,Railway Layout,Tue 05:00am to Tue 7:00am,Tue 05:00am to Tue 7:00am
83,,,1ST Stg Bagalur Layout,Tue 07:00am to Tue 9:00am,Tue 07:00am to Tue 9:00am
84,,,Railway Layout 1st and 2nd Cross,Tue 09:00am to Tue 11:00am,Tue 09:00am to Tue 11:00am
85,,,"9th, and 8th Main, 3rd Stg",Tue 11:00am to Tue 08:00pm,Tue 11:00am to Tue 08:00pm
